Model,Test_RMSE,Test_MAE,Test_R2,Train_R2,Val_R2,Training_Time_s,Overfit_Gap
Linear Regression,181.9032,180.9452,0.5188,0.5174,0.527,0.005,-0.0014
Random Forest (Default),167.1296,142.5347,0.5938,0.9383,0.6143,0.762,0.3444
Random Forest (Tuned),165.071,144.235,0.6037,0.8736,0.6191,1.579,0.2699
Gradient Boosting (Default),169.2313,152.5189,0.5835,0.6999,0.5989,1.864,0.1164
Gradient Boosting (Tuned),169.5719,148.2961,0.5818,0.808,0.5976,2.884,0.2261
XGBoost (Default),168.6643,152.5856,0.5863,0.6965,0.596,0.131,0.1102
XGBoost (Tuned),167.8341,150.6353,0.5904,0.7528,0.6029,0.332,0.1624
